time	Pu1	Gata1
13050.026409	24.6610360924	16.6830928624
13100.0185137	23.7692493665	16.9799213325
13150.0682645	21.1619046918	16.962405387
13200.0724676	21.6398412222	17.7210862923
13250.0203485	22.3059101381	17.1512920097
13300.011616	22.8008721011	17.8598122827
13350.0607893	23.6358122926	17.5569681595
13400.0038513	23.4716562956	18.0561076953
13450.0053033	24.0238543971	16.1138740367
13500.0124837	23.2861560117	16.0011742675
13550.0037045	24.0221598949	16.6827634665
13600.0016892	24.4911624976	15.5586966298
13650.0003131	24.3248367908	15.2069072056
13700.0194653	23.5838085708	15.9441733351
13750.0181149	24.4163850736	14.4923279903
13800.0265469	26.2538199782	15.2491170442
13850.0114206	25.6407008677	15.0917184071
13900.0087344	24.4625173832	16.504420949
13950.0298091	24.5249831867	15.9460588662
14000.0033842	25.5373116898	16.1293995776
14050.0035103	23.7625604651	15.0446165893
14100.0025856	24.7835264535	15.8047876809
14150.015835	25.8317830906	16.3944943484
14200.0085503	25.4403315882	17.0884020418
14250.0347241	24.9369404057	16.2118692425
14300.0355472	23.4481976984	16.0025841151
14350.0464308	24.6384586071	17.2719223906
14400.0190872	24.4184081586	17.4301094033
14450.0659788	24.7616238563	17.6796801562
14500.0078268	24.3537434956	15.0953907367
14550.0682811	22.2678008466	17.4431042934
14600.0030083	22.2151876331	15.7508052702
14650.0099051	23.6470699367	16.412284199
14700.0242688	24.611824411	15.8628252075
14750.00947	23.210882349	17.1241775622
14800.0112837	22.7250753237	18.5054944921
14850.0043396	23.2496439483	17.3681172821
14900.0679974	21.9763500947	18.2936698969
14950.0062657	21.283109101	18.4903634379
15000.0161535	21.212389085	18.9078377929
15050.01325	21.0272546213	19.6886111245
15100.1172277	20.5184561666	17.9620313896
15150.003045	21.4028616142	17.7203195745
15200.0007392	23.2301130276	18.9042511748
15250.0606279	21.4326488031	19.436164595
15300.061749	19.2064295239	20.19515447
15350.0248186	18.6091836855	20.8493176781
15400.0627048	18.8701404952	20.6570554404
15450.0570304	20.3169385657	20.3080307576
15500.03822	20.1270600441	20.4420841831
15550.0285514	20.0189349867	19.526155113
15600.0154117	19.2452744794	20.1424381267
15650.016647	19.5329060338	20.3701878804
15700.0025422	19.7088905712	20.5862782475
15750.0118758	20.5014287641	19.7288578376
15800.0158289	19.7900029796	20.7103396466
15850.00087	20.6803280381	19.1841466864
15900.0191562	20.898333339	19.2565469567
15950.009541	21.2328524763	18.4626393915
16000.0015265	21.509663809	19.4328312347
16050.0057349	21.9545961873	19.4626309605
16100.0030668	19.8731130459	18.6184078349
16150.0473147	19.9003029417	20.157334188
16200.000067	20.3583713152	18.8320582428
16250.1081934	19.6185686821	17.811191498
16300.0454741	20.4355307201	19.3883191811
16350.0030636	20.5917228631	18.4807091942
16400.0187436	20.3168692659	19.0269336924
16450.0285569	21.0208237462	17.6606830456
16500.013262	21.4740101052	18.5491583289
16550.0136138	21.9985193016	18.9775050946
16600.0117749	20.3646554597	19.8563480035
16650.0036892	21.3818844689	19.1113017586
16700.0031436	19.5661265425	18.9091653415
16750.0074968	18.7224900201	20.7184365465
16800.0320919	19.0121481556	21.8537065602
16850.0374446	18.3331763494	22.4744126091
16900.0244646	18.3283278981	22.3500497029
16950.0136952	19.4536806288	20.3132509178
17000.0248031	20.9540247852	19.5869171062
17050.0020486	21.2175795323	20.2703862689
17100.0049706	21.1375774006	19.5161097288
17150.0883245	20.094313017	17.8047531193
17200.0210736	21.5205508645	18.1023101752
17250.0042269	21.5974978545	18.3844607604
17300.0239628	21.1902861672	18.3177528742
17350.0361712	20.9300993644	19.676483357
17400.0223951	21.5812783083	20.2132791804
17450.0328156	20.1286219211	18.6175645622
17500.012917	22.2607221794	18.4252645488
17550.0197805	21.3733930042	17.5151014075
17600.0511658	22.336833123	16.6780253657
17650.0250864	21.5814304191	17.6441625159
17700.0992985	19.9953580838	19.0058220706
17750.0008506	20.3818994629	19.4850688303
17800.0100547	20.3560035354	19.7745203818
17850.0216492	21.0503153241	19.6187660646
17900.0063274	21.5967904701	17.7161830623
17950.0344462	21.027818618	18.1737496111
18000.0096678	20.6111765871	18.093915701
18050.0025579	22.0768638796	16.9186950875
18100.0297901	21.690259622	17.7794233934
18150.05845	22.353064203	18.9789608803
18200.0007471	21.8848886959	18.6992741646
18250.0715499	21.3310867481	17.7156402387
18300.0179247	21.9874039566	16.7551855733
18350.0305987	21.9462156508	19.1152218364
18400.0114259	21.5672412532	19.9719579827
18450.0346355	20.3271695973	18.8173019387
18500.0649168	19.1824948174	19.9100109876
18550.0606474	20.9640108164	19.5779613478
18600.0168913	22.8021621202	18.7290412185
18650.0396085	23.0884996897	17.9921583679
18700.0004819	24.1427531379	18.3026894445
18750.0520525	24.4522468521	15.9085742936
18800.0071597	22.9056657604	16.2191503141
18850.0085381	23.0414108603	15.9941132888
18900.0139784	23.6282753957	13.986998579
18950.0281031	25.6400236862	14.9542267912
19000.016859	26.3671495294	14.4902965575
19050.0301154	26.7391736624	13.7646277193
19100.0130532	27.2789136199	13.353608202
19150.0200407	25.4392820234	14.4009155349
19200.0742901	26.512569267	14.9287689314
19250.0597473	26.7863241693	14.2909038629
19300.0079215	26.8965710165	13.6560745455
19350.0043202	27.026879051	14.1332724492
19400.0027081	27.2118630448	14.1306601394
19450.002702	24.0206048469	15.7515831408
19500.0059285	23.6457341514	16.1690029012
19550.0104247	25.4241717148	14.7249122367
19600.0011717	26.4468737217	14.6099668662
19650.0050852	23.6849739365	15.366640956
19700.0812561	24.2559639003	15.0337368117
19750.0663274	24.2271603251	15.3603112984
19800.037044	26.2190458232	14.8066685936
19850.0163546	27.0389643178	14.7328774682
19900.0030014	26.2861671928	15.5690353187
19950.0004152	24.8036600603	15.7580341937
20000.002855	27.2726684546	14.610900019
20050.0012234	28.5412134026	13.0839459078
20100.015273	28.4131770077	11.9780795297
20150.0036437	29.0144271917	12.2934734596
20200.0410675	29.7737875866	11.2912140497
20250.0152161	30.2401631314	12.7256530446
20300.0505024	29.7123505577	12.8626271913
20350.0093053	27.9386094011	12.5286656557
20400.0049387	28.4530186631	13.6209101635
20450.0026763	26.2485069506	14.5340683144
20500.062498	26.2462817642	14.4792511923
20550.0001862	27.2592461702	14.8519637339
20600.0023389	25.5254636509	15.1664436442
20650.0377711	26.3429689065	14.3490416311
20700.0318566	25.2125196779	14.9535700059
20750.0282452	24.7043464338	15.6969839048
20800.0267263	23.9178097	17.3957446447
20850.0223766	23.578494895	16.778566256
20900.0542967	24.3792572438	17.0254574044
20950.0107827	24.6110192432	16.2016780342
21000.0288029	24.5412160637	15.5240899312
21050.0361649	23.582423331	14.8183777942
21100.0347252	23.8224264487	14.9200402196
21150.0299297	24.7221663386	15.9090894129
21200.0055619	25.1742516868	15.9243045757
21250.0225379	26.6623917614	16.1337942985
21300.0194953	25.6113333438	16.262263354
21350.0046771	25.3925754802	15.2462379724
21400.057559	23.6727735114	15.6799737228
21450.0039226	22.8108043597	17.0458588947
21500.0065232	20.5618313991	19.0582356415
21550.0563334	20.1054990754	19.8411501398
21600.0048759	19.5043103594	19.8539718055
21650.0516658	20.0262020059	20.0404879474
21700.0141753	20.487687838	19.6576988134
21750.0446354	19.8620312424	19.8088046524
21800.0296352	20.6085834323	19.8227627659
21850.0325892	20.1774811739	19.512239161
21900.0345188	20.2708599728	18.9627386602
21950.0264073	19.2040905083	20.8523284426
22000.0081941	17.2984791423	21.8229051368
22050.0380175	18.2856332248	20.9007376238
22100.0008283	18.6856082266	20.4525668914
22150.0001304	18.8962760808	20.0935623982
22200.0152333	20.4605608686	19.6015141658
22250.0262376	21.1955858241	19.5487986656
22300.0093784	21.5596171492	20.2520924038
22350.0111708	20.8300906823	20.027218392
22400.0760681	21.0632477271	19.676238431
22450.0031695	20.8177233228	20.1732343863
22500.0156012	22.0054004918	18.5719066687
22550.0184243	23.3293788675	16.8071084102
22600.0192255	23.0339553273	16.0007470631
22650.0218925	21.4764651562	18.0314975563
22700.0127708	21.870311447	19.9434542521
22750.0199698	21.4458605801	19.3155283383
22800.0022087	21.6405312878	19.0521418819
22850.0141645	22.2768320328	19.1353096492
22900.0418689	19.6277946417	19.1528591819
22950.0251749	19.9366180182	19.4483574088
23000.006719	18.4612545746	19.9443209167
23050.0075709	18.628767424	21.8972919416
23100.0092212	18.9211731027	20.830724616
23150.0414863	19.4052695704	20.8050243663
23200.0041283	17.8384448542	21.2575494752
23250.0076452	18.7682549633	22.048307391
23300.0163756	17.8958712735	22.4419610857
23350.0216933	16.8402593988	24.4043142478
23400.0021558	15.7304550078	24.50428405
23450.0555491	16.5519469173	24.3765669172
23500.0061767	16.5624701228	23.7391827161
23550.0260052	17.2211201368	24.3074011475
23600.0723497	17.3023596802	21.9755586689
23650.0130239	17.7719921622	23.2358923486
23700.0183873	17.0401602804	23.9474184486
23750.0610121	16.6680282587	23.7762583103
23800.0898929	17.3492292933	23.1029386365
23850.0088902	15.8591630441	25.1077000868
23900.007801	15.1956220332	24.4060404648
23950.0341902	15.037319114	25.5815896172
24000.0969754	15.2456606101	24.5926403536
24050.0342797	15.5482698662	22.9581548113
24100.0209618	15.6327467417	24.2214186404
24150.0287213	15.1358904725	24.4916145854
24200.0014822	13.7957724961	25.5908639955
24250.031683	16.2021021026	24.5669759868
